time,Open,High,Low,Close,Volume
02.09.2019 00:00:00.000,60.85,60.95,60.6,60.9,71499.9997
02.09.2019 00:03:00.000,60.9,61.2,60.25,60.4,72030.0004
02.09.2019 00:06:00.000,60.1,60.4,59.8,60,33129.9989
02.09.2019 00:09:00.000,60.2,60.3,59.8,59.9,31499.9996
02.09.2019 00:12:00.000,59.3,59.4,58.85,59.3,33720.0002
02.09.2019 00:15:00.000,59.55,59.9,59.55,59.85,68310.0019
02.09.2019 00:18:00.000,59.95,60.05,59.75,59.85,66609.9991
02.09.2019 00:21:00.000,59.5,60.3,59.5,59.95,37260.0006
02.09.2019 00:24:00.000,59.8,60,59.65,59.75,29989.9998
02.09.2019 00:27:00.000,59.6,59.95,59.6,59.8,73620.0027
02.09.2019 00:30:00.000,59.8,60.3,59.75,59.9,60240.0005
02.09.2019 00:33:00.000,59.85,60.4,59.85,60.15,48499.9996
02.09.2019 00:36:00.000,59.9,60.25,59.9,59.95,63160.0004
02.09.2019 00:39:00.000,59.35,59.8,59.15,59.15,48589.9993
02.09.2019 00:42:00.000,59,59.5,59,59.3,43910.0014
02.09.2019 00:45:00.000,58.95,59.3,58.7,58.95,31849.9999
02.09.2019 00:48:00.000,58.65,59,58.6,58.75,35089.9995
02.09.2019 00:51:00.000,57.15,57.9,57.1,57.55,75880.0003
02.09.2019 00:54:00.000,57.2,57.4,56.7,56.7,58870.0008
02.09.2019 00:57:00.000,57.2,57.3,56.85,56.85,56849.9993
02.09.2019 01:00:00.000,56.35,56.75,56.1,56.5,164769.9997
02.09.2019 01:03:00.000,56,56.85,56,56.6,190170.0013
02.09.2019 01:06:00.000,56.3,56.8,56.3,56.8,212009.9999
02.09.2019 01:09:00.000,57.8,58.25,57.2,57.9,138690.0004
02.09.2019 01:12:00.000,57.45,57.95,57.45,57.8,100200.003
02.09.2019 01:15:00.000,57.85,58.7,57.75,58.1,140340.0004
02.09.2019 01:18:00.000,58.2,58.9,58.2,58.65,198720.0007
02.09.2019 01:21:00.000,59.05,59.6,58.9,59.35,98970.0034
02.09.2019 01:24:00.000,59.75,59.9,59.3,59.45,135649.9997
02.09.2019 01:27:00.000,59.5,59.9,59.35,59.65,99700.002
02.09.2019 01:30:00.000,59.15,59.6,59,59.4,96929.9991
02.09.2019 01:33:00.000,59.35,59.35,57.5,57.75,166340.0009
02.09.2019 01:36:00.000,56.25,57.25,56.2,57,109209.9977
02.09.2019 01:39:00.000,56.8,57.1,56.6,56.8,57210.0002
02.09.2019 01:42:00.000,56.5,57,56.5,56.65,80919.9978
02.09.2019 01:45:00.000,56.65,56.8,56.5,56.5,209610.0003
02.09.2019 01:48:00.000,56,56.35,56,56.05,110329.9987
02.09.2019 01:51:00.000,55.45,55.85,55.35,55.6,95920.0002
02.09.2019 01:54:00.000,54.8,54.8,54.2,54.4,183749.9961
02.09.2019 01:57:00.000,53.35,53.4,53,53.15,184899.997
02.09.2019 02:00:00.000,52.5,52.95,52.5,52.8,104549.9984
02.09.2019 02:03:00.000,53,53.1,52.55,52.55,38170.0006
02.09.2019 02:06:00.000,51.75,51.95,50.8,51.35,81640.0013
02.09.2019 02:09:00.000,51.55,52.1,51.5,51.8,36580
02.09.2019 02:12:00.000,51.15,51.15,50.55,50.65,62760.0011
02.09.2019 02:15:00.000,49,49.55,48.6,48.75,46290.0009
02.09.2019 02:18:00.000,48.4,49.55,48.4,48.9,30750.0004
02.09.2019 02:21:00.000,49.2,49.2,48.6,48.65,26929.9997
02.09.2019 02:24:00.000,48,48,46.5,46.65,37779.999
02.09.2019 02:27:00.000,42,46.1,42,45.7,28139.9992
02.09.2019 02:30:00.000,44,44.75,43.6,43.8,82539.9999
02.09.2019 02:33:00.000,45,45.5,43.85,44.95,91130.0014
02.09.2019 02:36:00.000,45.2,46.5,44.15,44.55,94470.0018
02.09.2019 02:39:00.000,44.2,44.9,43.5,44.6,110910.0003
02.09.2019 02:42:00.000,44.95,47,44.95,47,110260.0005
02.09.2019 02:45:00.000,44.75,44.85,43.85,44.2,98069.9994
02.09.2019 02:48:00.000,45,45.2,44.45,45.1,80100.0018
02.09.2019 02:51:00.000,46.1,46.6,45,46.3,61259.9999
02.09.2019 02:54:00.000,45.95,45.95,45.05,45.7,126339.9952
02.09.2019 02:57:00.000,46,46.15,45.1,45.4,132500.0003
02.09.2019 03:00:00.000,44.8,45.15,44.1,44.5,70650.0001
02.09.2019 03:03:00.000,44.75,44.9,43.95,44.15,78650.0014
02.09.2019 03:06:00.000,41,41.7,39.8,39.95,72339.9986
02.09.2019 03:09:00.000,38.8,39.2,37.8,38.9,68640.0011
